,nn2,nn16,r_psp_MMGBSA_dG_Bind,r_psp_MMGBSA_dG_Bind_Packing,r_psp_MMGBSA_dG_Bind(NS),r_psp_MMGBSA_dG_Bind(NS)_Packing,r_psp_Prime_Ligand_efficiency_ln,lig_C,lig_HD,as_flex_all,AlogP,predicted_score
79,4.157,0.237,-27.600703583306302,-1.33564210166401,-27.60070358335,-1.33564210166404,-7.920069705449751,2.0,0.0,33.0,1.9278,1.8789235475306472
80,-0.41600000000000004,0.376,-22.681388915494598,-1.00007562339005,-22.681388915469107,-1.00007562339005,-6.67512889436852,4.0,0.0,34.0,2.2491,0.5056015097857729
81,1.5390000000000001,-0.44799999999999995,-23.5863699927068,1.4210854715202e-14,-23.5863699927431,0.0,-8.00647976323051,3.0,3.0,33.0,-3.6119,0.0
82,2.252,-0.557,-21.5278930933564,-0.335455734400085,-21.527893093400106,-0.335455734400114,-6.518497627517508,3.0,0.0,31.0,1.5904,0.24483279367630245
83,3.5469999999999997,-0.138,-29.653956282112603,-2.0416782360161694,-29.653956282069,-2.04167823601612,-7.8603734637967895,2.0,0.0,30.0,3.7385,0.20253068841344007
84,0.326,-1.5930000000000002,-11.043365831155805,1.4210854715202e-14,-11.0433658311667,0.0,-3.74871101710186,4.0,0.0,25.0,-0.9683,2.98068713897673
85,8.642000000000001,6.972,-30.708688858579997,-2.5639519783478,-30.708688858554503,-2.5639519783478,-7.89351012438632,2.0,0.0,28.0,3.4462,0.0
86,-0.221,4.295,-28.466790468446607,-1.6812087685765502,-28.466790468428396,-1.6812087685766,-7.545691450709169,2.0,0.0,32.0,3.7385,0.0
87,-0.645,2.795,-33.4529281780633,-1.3889415141384702,-33.452928178107,-1.3889415141384802,-9.383843870894099,3.0,0.0,40.0,2.0069999999999997,5.411874979163667
88,-0.363,3.68,-21.068866683835896,-1.3039769326981898,-21.068866683876,-1.3039769326981898,-5.910004482879459,5.0,0.0,38.0,2.0958,0.07398276046678151
89,-0.317,3.187,-28.072459038448898,-1.38226696440366,-28.072459038485203,-1.3822669644036698,-7.874574425494277,4.0,1.0,44.0,1.5091,0.0
90,-0.122,3.805,-31.0397943743046,-2.198641086797469,-31.039794374264602,-2.19864108679748,-8.37092075104002,2.0,0.0,37.0,2.9901,3.8090839877072233
91,7.449,1.7180000000000002,-34.9600410513012,-1.1321883704043902,-34.9600410513412,-1.1321883704043902,-9.428146641841428,6.0,2.0,26.0,0.5071,0.0
92,1.1059999999999999,-1.425,-21.4497096713858,-4.2632564145606005e-14,-21.449709671418496,0.0,-7.281182584018801,3.0,3.0,32.0,-3.6119,0.0
93,1.635,0.7809999999999999,-33.6560648293998,-1.8554764165722,-33.6560648293998,-1.8554764165722,-9.076485755073023,1.0,2.0,33.0,1.7573,4.028268016758192
